SID,SEASON,NUMBER,NAME,ISO_TIME,NATURE,LAT,LON,TRACK_TYPE,DIST2LAND,LANDFALL,NEWDELHI_WIND,STORM_SPEED,STORM_DIR,LAT_next,LON_next,dLAT,dLON,dt_hours_prev,LAT_lag1,LON_lag1,dLAT_lag1,dLON_lag1,LAT_lag2,LON_lag2,dLAT_lag2,dLON_lag2,LAT_lag3,LON_lag3,dLAT_lag3,dLON_lag3,geo_speed_kmh,geo_bearing,geo_bear_sin,geo_bear_cos,LAT_lag2_missing,LON_lag2_missing,dLAT_lag2_missing,dLON_lag2_missing,LAT_lag3_missing,LON_lag3_missing,dLAT_lag3_missing,dLON_lag3_missing,NEWDELHI_WIND_missing,flag_irregular_dt,flag_latnext_mismatch,u850,v850,u500,v500,u200,v200,msl,sst,steer_u,steer_v,shear_u,shear_v,shear_mag,sst_missing,season_sin,season_cos,curvature,bearing_stability,speed_stability,bearing_consistency,dlat_accel,dlon_accel,dist_BoB,speed_sq,lat_lon_int,dlat_trend,dlon_trend,bearing_momentum,speed_trend,recurvature_proxy,dist2land_rate
1940139N12083,1940,22,UNNAMED,1940-05-18 03:00:00,TS,11.8,82.5,main,262,238.0,0.0,4.0,280.0,11.9,82.3,0.0999999999999996,-0.2000000000000028,3.0,11.8,82.7,0.0,-0.2000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.256339011813684,270.02044962508,-0.9999999363064528,0.000356913280867,1,1,1,1,1,1,1,1,1,0,0,11.120178,-4.4811096,3.3849487,6.66008,5.1592712,1.5692902,99973.31,303.23364,6.5547996,1.2494202,-5.960907,6.0504,8.493512,0,0.6807734094770161,-0.7324940716135789,0.0,1.0,1.0,0.0,0.0,-0.2000000000000028,693.1241791494286,52.65445585436919,973.5000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1940139N12083,1940,22,UNNAMED,1940-05-18 06:00:00,TS,11.9,82.3,main,238,217.0,0.0,5.0,280.0,11.9,82.0,0.0,-0.2999999999999971,3.0,11.8,82.5,0.0999999999999996,-0.2000000000000028,11.8,82.7,0.0,-0.2000000000000028,0.0,0.0,0.0,0.0,8.14698273704051,297.0824411066481,-0.890352369326374,0.4552720707828586,0,0,0,0,1,1,1,1,1,0,0,10.809814,-10.402191,7.132416,-4.599304,1.5928955,-1.0113068,100023.06,303.25708,6.5117087,-5.3376007,-9.216919,9.390884,13.158278,0,0.6807734094770161,-0.7324940716135789,27.0619914815681,0.04966299267022573,0.6135796649890347,0.3992061308864244,0.0999999999999996,0.0,706.1717655959613,66.37332771763607,979.37,0.0999999999999996,0.0,27.0619914815681,-0.44532186261341344,0.0,-24.0
1940139N12083,1940,22,UNNAMED,1940-05-18 09:00:00,TS,11.9,82.0,main,206,182.0,0.0,5.0,280.0,12.0,81.8,0.0999999999999996,-0.2000000000000028,3.0,11.9,82.3,0.0,-0.2999999999999971,11.8,82.5,0.0999999999999996,-0.2000000000000028,11.8,82.7,0.0,-0.2000000000000028,10.880522953459128,270.03093069547026,-0.999999854285054,0.0005398424496667,0,0,0,0,0,0,0,0,1,0,0,13.774094,-11.688965,9.865097,1.1656189,1.4488373,-3.2819061,99914.0,303.22876,8.362676,-4.601751,-12.325256,8.407059,14.91947,0,0.6807734094770161,-0.7324940716135789,27.051510411177844,0.060164043323892184,0.3461919666502087,0.325897626103384,-0.0999999999999996,-0.09999999999999432,734.6521395425831,118.38577974075093,975.8000000000001,0.0,-0.09999999999999432,-27.051510411177844,-2.119241386021354,0.0,-32.0
1940139N12083,1940,22,UNNAMED,1940-05-18 12:00:00,TS,12.0,81.8,main,182,162.0,0.0,5.0,285.0,12.0,81.6,0.0,-0.2000000000000028,3.0,11.9,82.0,0.0999999999999996,-0.2000000000000028,11.9,82.3,0.0,-0.2999999999999971,11.8,82.5,0.0999999999999996,-0.2000000000000028,8.144607023776901,297.09115050558734,-0.8902831541856506,0.4554074059270984,0,0,0,0,0,0,0,0,1,0,0,13.201004,-11.206345,11.953384,-3.0738525,-0.54460144,-4.291977,99790.625,303.14087,8.203262,-6.190725,-13.745605,6.9143677,15.386687,0,0.6807734094770161,-0.7324940716135789,27.060219810117076,0.06016589562211494,0.3877627600910344,0.32590384615101026,0.0999999999999996,0.09999999999999432,748.6769207581946,66.33462357175603,981.5999999999999,0.0,0.0,27.060219810117076,0.9127638809819452,0.0,-24.0
1940139N12083,1940,22,UNNAMED,1940-05-18 15:00:00,TS,12.0,81.6,main,162,137.0,0.0,4.0,295.0,12.1,81.4,0.0999999999999996,-0.1999999999999886,3.0,12.0,81.8,0.0,-0.2000000000000028,11.9,82.0,0.0999999999999996,-0.2000000000000028,11.9,82.3,0.0,-0.2999999999999971,7.251003221610243,270.0207911892804,-0.9999999341609738,0.0003628747003844,0,0,0,0,0,0,0,0,1,0,0,15.100403,-9.926132,11.264954,-4.400284,-1.2293091,-3.5420532,100090.375,303.00708,8.378682,-5.9561563,-16.329712,6.384079,17.533281,0,0.6807734094770161,-0.7324940716135789,27.070359316306963,0.060146204461647215,0.3458911010459155,0.32601400070689995,-0.0999999999999996,0.0,768.0924710334804,52.577047719802124,979.1999999999999,0.0,0.09999999999999432,-27.070359316306963,1.507707844671848,0.0,-20.0
1940139N12083,1940,22,UNNAMED,1940-05-18 18:00:00,TS,12.1,81.4,main,137,124.0,0.0,4.0,300.0,12.3,81.2,0.200000000000001,-0.2000000000000028,3.0,12.0,81.6,0.0999999999999996,-0.1999999999999886,12.0,81.8,0.0,-0.2000000000000028,11.9,82.0,0.0999999999999996,-0.2000000000000028,8.142211821301341,297.09993559139457,-0.8902133167078324,0.4555439065074193,0,0,0,0,0,0,0,0,1,0,0,16.788254,-8.699829,11.078964,-5.0696716,-10.215591,-2.4066925,100147.94,303.00708,5.8838754,-5.3920646,-27.003845,6.2931366,27.727446,0,0.6807734094770161,-0.7324940716135789,27.079144402114196,0.060126448718793,0.6599647892684537,0.32612467820226027,0.0999999999999996,1.4183099139586375e-14,782.8471020129939,66.2956133429393,984.94,0.0,1.4183099139586375e-14,27.079144402114196,-0.2962711324051801,0.0,-25.0
1940139N12083,1940,22,UNNAMED,1940-05-18 21:00:00,TS,12.3,81.2,main,110,98.0,0.0,4.0,310.0,12.4,81.1,0.0999999999999996,-0.1000000000000085,3.0,12.1,81.4,0.200000000000001,-0.2000000000000028,12.0,81.6,0.0999999999999996,-0.1999999999999886,12.0,81.8,0.0,-0.2000000000000028,10.365850274828098,315.6754366820986,-0.698722046424519,0.7153932497866696,0,0,0,0,0,0,0,0,1,0,0,15.340195,-10.458267,16.003922,-4.37027,-11.176468,-7.672653,99943.19,302.9182,6.7225494,-7.5003967,-26.516663,2.785614,26.662579,0,0.6807734094770161,-0.7324940716135789,18.57550109070405,0.04173808365944802,0.3839924264828103,0.5144088369830011,0.10000000000000141,-1.4183099139586375e-14,793.6425151519003,107.45085192015375,998.7600000000001,0.200000000000001,0.0,18.57550109070405,-1.7794951689148704,0.0,-27.0
1940139N12083,1940,22,UNNAMED,1940-05-19 00:00:00,TS,12.4,81.1,main,98,76.0,0.0,5.0,315.0,12.6,80.9,0.1999999999999993,-0.1999999999999886,3.0,12.3,81.2,0.0999999999999996,-0.1000000000000085,12.1,81.4,0.200000000000001,-0.2000000000000028,12.0,81.6,0.0999999999999996,-0.1999999999999886,5.181484467054558,315.68134503322256,-0.6986482712285947,0.7154652983264079,0,0,0,0,0,0,0,0,1,0,0,10.882965,-12.70253,10.091354,-11.296875,-7.9910126,2.9227295,99893.81,302.8108,4.327769,-7.0255585,-18.873978,15.625259,24.502565,0,0.6680638642135335,-0.7441039398713607,0.005908351123935063,0.08527856180360453,0.2777082557864139,0.2606237309002094,-0.10000000000000141,0.09999999999999429,799.4235110274453,26.847781282327656,1005.64,0.0,0.0999999999999801,0.005908351123935063,2.715031054006774,0.0,-12.0
1940139N12083,1940,22,UNNAMED,1940-05-19 03:00:00,TS,12.6,80.9,main,76,54.0,0.0,6.0,315.0,12.9,80.6,0.3000000000000007,-0.3000000000000113,3.0,12.4,81.1,0.1999999999999993,-0.1999999999999886,12.3,81.2,0.0999999999999996,-0.1000000000000085,12.1,81.4,0.200000000000001,-0.2000000000000028,10.36004917802364,315.708781678806,-0.6983055835688475,0.7157997708553498,0,0,0,0,0,0,0,0,1,0,0,14.321167,-14.142471,13.3272705,-7.568619,-8.642624,2.268753,100026.44,302.8108,6.3352714,-6.480779,-22.96379,16.411224,28.225235,0,0.6680638642135335,-0.7441039398713607,0.027436645583463815,0.9825179575523717,0.25053101498788904,0.00043914937147426726,0.09999999999999969,-0.0999999999999801,811.7235911331393,107.3306189710683,1019.34,-1.7208456881689926e-15,1.4183099139586375e-14,0.027436645583463815,-1.7242545380548755,0.0,-22.0
1940139N12083,1940,22,UNNAMED,1940-05-19 06:00:00,TS,12.9,80.6,main,43,31.0,0.0,7.0,320.0,13.2,80.4,0.2999999999999989,-0.1999999999999886,3.0,12.6,80.9,0.3000000000000007,-0.3000000000000113,12.4,81.1,0.1999999999999993,-0.1999999999999886,12.3,81.2,0.0999999999999996,-0.1000000000000085,15.532661767911549,315.7481776828598,-0.6978132417830044,0.7162797495338635,0,0,0,0,0,0,0,0,1,0,0,13.135986,-19.054749,14.591019,-7.479309,-2.7312317,1.6798553,100144.375,302.14282,8.331924,-8.284734,-15.867218,20.734604,26.10924,0,0.6680638642135335,-0.7441039398713607,0.03939600405379906,0.9674976983001311,0.16192787609750198,0.0008291300196097686,0.10000000000000142,-0.10000000000002271,831.9319090729904,241.2635815963411,1039.74,0.20000000000000112,-0.20000000000000281,0.03939600405379906,-5.174596630248301,0.0,-33.0
