model,horizon,median_km,ci95_lo,ci95_hi,p_value_vs_sece,p_value_bonferroni_vs_sece,rank_biserial_vs_sece,significant_raw,significant_bonferroni,n_storms,n_samples,n_storms_paired,wilcoxon_stat
SECE v2 Phase3,3h,4.895,4.714,5.079,,,,N/A,N/A,442,34114,,
Stacking Ensemble,3h,4.945,4.763,5.123,0.00023,0.001609,-0.2084,Y,Y,442,34114,442.0,34329.0
Persistence Residual Cascade,3h,8.872,8.707,9.058,0.0,0.0,-1.0,Y,Y,442,34114,442.0,0.0
Random Forest,3h,4.927,4.734,5.125,0.00388,0.027158,-0.164,Y,Y,442,34114,442.0,35736.0
LightGBM,3h,6.026,5.889,6.168,0.0,0.0,-0.9698,Y,Y,442,34114,442.0,1478.0
XGBoost,3h,6.411,6.243,6.58,0.0,0.0,-0.9927,Y,Y,442,34114,442.0,356.0
CatBoost,3h,8.479,8.284,8.691,0.0,0.0,-1.0,Y,Y,442,34114,442.0,1.0
CB+MotionNN,3h,5.813,5.701,5.928,0.0,0.0,-0.8327,Y,Y,442,34114,442.0,8191.0
SECE v2 Phase3,12h,35.538,34.208,36.925,,,,N/A,N/A,442,21442,,
Stacking Ensemble,12h,36.146,34.744,37.701,0.000199,0.001393,-0.2102,Y,Y,442,21442,442.0,34415.0
Persistence Residual Cascade,12h,37.177,35.704,38.527,0.0,0.0,-0.3938,Y,Y,442,21442,442.0,29674.0
Random Forest,12h,36.901,35.525,38.323,2e-06,1.1e-05,-0.2633,Y,Y,442,21442,442.0,36064.0
LightGBM,12h,36.928,35.498,38.338,0.0,0.0,-0.3058,Y,Y,442,21442,442.0,33983.0
XGBoost,12h,36.947,35.531,38.416,0.0,0.0,-0.364,Y,Y,442,21442,442.0,31132.0
CatBoost,12h,42.028,40.381,43.656,0.0,0.0,-0.8062,Y,Y,442,21442,442.0,9488.0
CB+MotionNN,12h,37.413,36.047,38.949,0.0,0.0,-0.4427,Y,Y,442,21442,442.0,27281.0
SECE v2 Phase3,24h,101.186,97.301,104.808,,,,N/A,N/A,442,21442,,
Stacking Ensemble,24h,100.771,96.887,104.703,0.231501,1.0,-0.0706,N,N,442,21442,442.0,34174.0
Persistence Residual Cascade,24h,101.941,98.131,105.824,0.128216,0.897514,-0.0835,N,N,442,21442,442.0,44864.0
Random Forest,24h,103.511,99.652,107.437,0.010528,0.073695,-0.1404,Y,N,442,21442,442.0,42078.0
LightGBM,24h,101.632,97.778,105.589,0.432356,1.0,-0.0443,N,N,442,21442,442.0,41845.0
XGBoost,24h,101.029,96.932,105.286,0.406911,1.0,-0.0455,N,N,442,21442,442.0,46723.0
CatBoost,24h,107.191,102.555,111.839,0.0,0.0,-0.4502,Y,Y,442,21442,442.0,26914.0
CB+MotionNN,24h,104.034,100.239,108.074,1e-06,1e-05,-0.2646,Y,Y,442,21442,442.0,35999.0
SECE v2 Phase3,48h,246.331,235.541,257.614,,,,N/A,N/A,442,21442,,
Stacking Ensemble,48h,245.977,235.938,257.183,0.03741,0.261869,-0.1142,Y,N,442,21442,442.0,43359.0
Persistence Residual Cascade,48h,243.229,231.65,255.158,0.921883,1.0,-0.0054,N,N,442,21442,442.0,48688.0
Random Forest,48h,251.305,240.752,262.324,0.100564,0.703951,-0.0901,N,N,442,21442,442.0,44539.0
LightGBM,48h,245.975,234.926,257.214,0.214902,1.0,-0.0681,N,N,442,21442,442.0,45619.0
XGBoost,48h,242.702,232.596,255.403,0.961562,1.0,-0.0026,N,N,442,21442,442.0,48822.0
CatBoost,48h,254.862,242.991,267.797,0.0,0.0,-0.3522,Y,Y,442,21442,442.0,31711.0
CB+MotionNN,48h,249.678,238.972,261.153,0.03741,0.261869,-0.1142,Y,N,442,21442,442.0,43359.0
