seed,horizon,feature,is_era5,gain,gain_share,rank
0,24h,STORM_DIR,False,653848.8236,0.526873,1
0,24h,STORM_SPEED,False,419111.3933,0.337721,2
0,24h,sst,True,20620.8579,0.016616,3
0,24h,u200,True,16686.9691,0.013446,4
0,24h,msl,True,15857.8,0.012778,5
0,24h,steer_u,True,12512.1839,0.010082,6
0,24h,LANDFALL,False,11445.9568,0.009223,7
0,24h,u500,True,10611.8135,0.008551,8
0,24h,v500,True,10592.751,0.008536,9
0,24h,shear_u,True,9682.2439,0.007802,10
0,24h,DIST2LAND,False,9511.0134,0.007664,11
0,24h,u850,True,8662.6385,0.00698,12
0,24h,shear_v,True,8337.0716,0.006718,13
0,24h,sst_missing,True,8310.2581,0.006696,14
0,24h,v850,True,6012.0279,0.004845,15
0,24h,v200,True,5429.6074,0.004375,16
0,24h,NEWDELHI_WIND_missing,False,5388.1277,0.004342,17
0,24h,steer_v,True,4449.3389,0.003585,18
0,24h,shear_mag,True,3926.9569,0.003164,19
0,24h,NEWDELHI_WIND,False,0.0,0.0,20
0,48h,STORM_DIR,False,2041798.9009,0.47427,1
0,48h,STORM_SPEED,False,1052791.0212,0.244543,2
0,48h,sst,True,178498.4888,0.041462,3
0,48h,u200,True,143092.597,0.033238,4
0,48h,msl,True,139107.4402,0.032312,5
0,48h,DIST2LAND,False,103803.7498,0.024112,6
0,48h,steer_u,True,69506.0304,0.016145,7
0,48h,v200,True,67023.2343,0.015568,8
0,48h,shear_u,True,65607.4186,0.015239,9
0,48h,u500,True,60622.6944,0.014081,10
0,48h,sst_missing,True,60088.0984,0.013957,11
0,48h,v500,True,59068.7989,0.013721,12
0,48h,steer_v,True,58175.8109,0.013513,13
0,48h,LANDFALL,False,58145.0461,0.013506,14
0,48h,u850,True,36363.5379,0.008447,15
0,48h,NEWDELHI_WIND_missing,False,32060.3221,0.007447,16
0,48h,v850,True,31782.6063,0.007382,17
0,48h,shear_v,True,27633.8182,0.006419,18
0,48h,shear_mag,True,19971.6811,0.004639,19
0,48h,NEWDELHI_WIND,False,0.0,0.0,20
