role,SID,NAME,horizon,ISO_TIME,origin_lat,origin_lon,true_lat,true_lon,best_competitor_at_horizon,sece_v2_phase3_lat,sece_v2_phase3_lon,stacking_ensemble_lat,stacking_ensemble_lon,persistence_residual_cascade_lat,persistence_residual_cascade_lon,random_forest_lat,random_forest_lon,lightgbm_lat,lightgbm_lon,xgboost_lat,xgboost_lon,catboost_lat,catboost_lon,cbplusmotionnn_lat,cbplusmotionnn_lon
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-16 21:00:00,10.2,90.1,10.5,89.7,Random Forest,10.54671483990702,89.72363310469318,10.532534272520884,89.71781630614657,10.56704748461277,89.7881085567149,10.534999999999998,89.71866666666666,10.562150026653327,89.7346143122714,10.54436584,89.73992763,10.539697404679332,89.78144153698425,10.553819758077404,89.75279621331933
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 00:00:00,10.5,89.7,10.7,89.3,Random Forest,10.789066919140087,89.2542324155132,10.799622617591043,89.25994433035207,10.78196234048546,89.29360313300506,10.800666666666666,89.26333333333334,10.787056491679285,89.2799125705136,10.78545314,89.28497468,10.776678543420962,89.29533751199814,10.769037978939854,89.2582134530204
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 03:00:00,10.7,89.3,10.8,88.7,Random Forest,10.84547436849262,88.74938367344012,10.834133022559028,88.75755247605326,10.863484440397583,88.87275273053623,10.831666666666667,88.76266666666666,10.863960978881472,88.79531727804931,10.86603968,88.82150007999999,10.884496777170883,88.8307739493302,10.856961974060827,88.75158380012961
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 06:00:00,10.8,88.7,11.0,88.3,Random Forest,11.018352930144175,88.25846426763167,11.023772237252693,88.25203659618889,10.99593829811057,88.14374582323482,11.027000000000001,88.24566666666666,11.027442062922598,88.24053097122174,10.99821167,88.23285605000001,10.939099667230872,88.2180882361578,11.004077109020885,88.2917568848568
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 09:00:00,11.0,88.3,11.2,87.9,Random Forest,11.254511280526584,87.87762531811502,11.253709581902626,87.87154322059872,11.204110444961524,87.89104380071831,11.254333333333333,87.87133333333333,11.198160407546451,87.89278821611894,11.1993373,87.89843537,11.197663159434253,87.8949625264902,11.252200115687682,87.90926922788792
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 12:00:00,11.2,87.9,11.4,87.6,Random Forest,11.400845172284429,87.57727877895574,11.41213581388247,87.58390106960239,11.398830686895558,87.51090988899074,11.41,87.58433333333333,11.391301657943089,87.56125740893376,11.39709544,87.55676790000001,11.381749455666988,87.53831818446079,11.384535237571264,87.57417824521777
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 15:00:00,11.4,87.6,11.6,87.2,Random Forest,11.548243049562428,87.19662429685859,11.532678816690119,87.19650784833776,11.563222873271563,87.27507356984496,11.529,87.19633333333333,11.563173253521564,87.21175513376662,11.565824150000001,87.22170604,11.585007991236644,87.25487171379206,11.565889098277998,87.21304755449432
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 18:00:00,11.6,87.2,11.7,86.8,Random Forest,11.642678308181187,86.83588811212444,11.630878073155316,86.85544883343978,11.730598373533327,86.80798324054528,11.628,86.85466666666667,11.725329610474208,86.83156022722275,11.7176721,86.83325438,11.727016220226501,86.80960343990017,11.654093468217345,86.80307038901853
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-17 21:00:00,11.7,86.8,11.8,86.3,Random Forest,11.776873990695874,86.2240126558538,11.77711939699897,86.24198772105206,11.774735280714873,86.34299921498473,11.779,86.24333333333333,11.779801861349592,86.28270397032686,11.778968939999999,86.30271757999999,11.797622893880554,86.30656663765568,11.77336690675516,86.20344412165363
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 00:00:00,11.8,86.3,12.1,85.4,Random Forest,12.07920993144836,85.44062069129403,12.066456600714265,85.44129271914767,12.030054873161268,85.69715487907916,12.06,85.43666666666667,12.03344420240999,85.5502239934225,12.013035720000001,85.6034452,11.968416974402187,85.64017325288707,12.095523820703436,85.47327820836558
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 03:00:00,12.1,85.4,12.5,84.6,Random Forest,12.506767033967884,84.56416375170727,12.491436413826529,84.57045827976394,12.455558378840317,84.50163919328541,12.497666666666667,84.56333333333333,12.426296209259426,84.57552844811636,12.439600859999999,84.59786143000001,12.401175925152597,84.60964513373133,12.516066563121171,84.58237917640369
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 06:00:00,12.5,84.6,12.9,84.0,Random Forest,12.853845833655711,83.92465696890828,12.849371879030265,83.93464883328194,12.882583675680053,83.85090017172675,12.858,83.941,12.871572089120699,83.93861375143722,12.866502,83.9334482,12.828223698669827,83.91026681757388,12.844376388931625,83.9274773915337
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 09:00:00,12.9,84.0,13.1,83.5,Random Forest,13.147935614451416,83.45503747747411,13.138624135866355,83.46688879208827,13.241329294807478,83.47176820038929,13.136666666666667,83.471,13.194771391908011,83.43972580672666,13.1982009,83.4542646,13.194805644019162,83.44100192208424,13.152862681122707,83.4481658123114
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 12:00:00,13.1,83.5,13.1,83.0,Random Forest,13.130773414754472,83.01609432867745,13.113176854170971,83.02252283697918,13.30732887986273,83.01973329723398,13.104333333333333,83.025,13.234531428030996,83.01870170311419,13.23159236,83.02600446,13.234231803544189,83.01648407732965,13.152761896864984,83.019896738134
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 15:00:00,13.1,83.0,13.1,82.6,Random Forest,13.165326251772917,82.56591647589333,13.171163791014196,82.5700756616243,13.226319649189014,82.54868883900659,13.17,82.56766666666667,13.161203044460374,82.57812890212243,13.164983584,82.57808116,13.149729868603277,82.55505593989804,13.157754625029119,82.57321057731207
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 18:00:00,13.1,82.6,13.1,82.1,Random Forest,13.1703457411367,82.19198383367703,13.161730123304105,82.19493263250368,13.15544720565033,82.21355943451265,13.161999999999999,82.19533333333332,13.153427964915954,82.20179218369704,13.163557096,82.20470754,13.141482711395096,82.20130391293714,13.179990894449004,82.20117045743022
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-18 21:00:00,13.1,82.1,13.5,82.0,Random Forest,13.49229144602376,81.89997701224284,13.466815131005188,81.8381831029473,13.361172134644823,81.73647821474546,13.458333333333334,81.84033333333333,13.410653184384437,81.83320618983907,13.43360296,81.82516933,13.245198258015117,81.77355133828014,13.524923056920558,82.05785422772567
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 00:00:00,13.5,82.0,13.5,81.8,Random Forest,13.536422573307537,81.81924340698018,13.584180634863765,81.78931404890128,13.664666072600086,81.76817358293277,13.599333333333334,81.78666666666666,13.663668119277423,81.81683514527266,13.64592774,81.80371,13.715248302257724,81.8874935701499,13.459863552800803,81.89903107827041
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 03:00:00,13.5,81.8,13.6,81.5,Random Forest,13.638192932728009,81.5033456439569,13.64875241181608,81.49811312388219,13.634196815117575,81.56234879049511,13.647333333333334,81.49466666666666,13.63277972689063,81.51271784172259,13.6469286,81.51994945,13.587623815237524,81.57334623293265,13.623456770483944,81.52790108432328
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 06:00:00,13.6,81.5,13.9,81.5,Random Forest,13.90234572989177,81.40063036769999,13.900909389527316,81.38259021140108,13.857433842881422,81.27862278145494,13.895,81.37833333333333,13.831107211218484,81.35078719306162,13.82967935,81.34946337,13.755940720192473,81.29033156732226,13.905163450704785,81.44840259957645
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 09:00:00,13.9,81.5,14.0,81.5,Random Forest,14.008510295185166,81.43052413514961,14.00560313486123,81.43457990613493,14.068043386990475,81.40603763341566,14.014333333333333,81.42933333333333,14.052150082267884,81.42927254130653,14.064875500000001,81.439685605,14.094824329870173,81.41730617972506,14.001219369951853,81.42347890034979
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 12:00:00,14.0,81.5,14.1,81.4,Random Forest,14.106400406142127,81.47061430316343,14.104312185942735,81.47313976458456,14.140100419445155,81.45785149960703,14.100333333333333,81.469,14.1062921628168,81.45479607141259,14.11608013,81.451427005,14.136140862480467,81.42419528240427,14.109435793993553,81.46569117011418
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 15:00:00,14.1,81.4,14.6,81.1,Random Forest,14.453219921638995,81.13925966052632,14.421858344998588,81.13701429649947,14.32874394540302,81.27181839205569,14.424333333333333,81.13133333333334,14.392532602195322,81.21906703016244,14.3849053,81.19566948,14.30280817152779,81.22959894890658,14.485049781875409,81.15504353900545
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 18:00:00,14.6,81.1,14.7,81.0,Random Forest,14.680946578628973,81.04636418600852,14.68168662027204,81.06531636395486,14.824329337634454,80.87271163413571,14.698,81.05199999999999,14.672368540097963,81.0347475864951,14.7444445,80.99426559,14.864366106393698,80.88724182019284,14.667002160047739,81.00259208190275
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-19 21:00:00,14.7,81.0,15.1,81.0,Random Forest,15.024382135201064,80.97646058814648,15.047326761242184,80.9930397892746,14.933759737132887,80.9313573779031,15.036999999999999,80.986,14.968702951219834,80.9515123634937,14.967630849999999,80.93628785,14.88120621794024,80.87596427369286,14.999208041817786,80.93725180951355
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 00:00:00,15.1,81.0,15.4,80.6,Random Forest,15.468049622848243,80.72192083517562,15.479698681548232,80.69079060675044,15.492778838107144,80.84040075056964,15.474666666666668,80.68133333333333,15.463118617803,80.74372683722389,15.45495865,80.7729236,15.434980636379944,80.86421592692669,15.44940946965598,80.80848652893779
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 03:00:00,15.4,80.6,15.6,80.6,Random Forest,15.555855470418047,80.53619532454445,15.527769396294946,80.53981947647944,15.578691797392183,80.38735061758877,15.548333333333334,80.53233333333333,15.55251703763395,80.52661622509456,15.55192121,80.47911825,15.611085002571995,80.36128813014294,15.572262209169208,80.52997996497652
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 06:00:00,15.6,80.6,15.7,80.5,Random Forest,15.702663852320637,80.53999188779429,15.668048224519724,80.52931838667566,15.73041896238318,80.51754176095136,15.669666666666666,80.523,15.681360052015235,80.52083890664838,15.70628589,80.50707213,15.767937448041623,80.52059027280842,15.742705138166649,80.56829158635422
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 09:00:00,15.7,80.5,15.9,80.5,Random Forest,15.849997400714459,80.48781650047783,15.869291719471027,80.49114732380856,15.83793911504966,80.44815465765042,15.866,80.48166666666667,15.851857727338516,80.48474272582561,15.84141575,80.478337778,15.835028240586965,80.40558765243007,15.825267578874127,80.48023541784816
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 12:00:00,15.9,80.5,15.9,80.5,Random Forest,15.939814443207668,80.51446318836484,15.887233543129542,80.51016155885824,16.014574505770902,80.5004914946612,15.899333333333333,80.507,16.004794677369762,80.49662201307162,15.98545982,80.4947534497,16.03813474289478,80.51481892216658,15.991446466066384,80.52433342368495
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 15:00:00,15.9,80.5,16.0,80.6,Random Forest,16.000058181234216,80.50701504365843,16.03505065788937,80.49860678713702,15.950361823433187,80.51279504512677,16.032666666666668,80.49533333333333,16.003116639416547,80.51899008365619,16.00900318,80.516630327,15.976993911052485,80.50189871613175,15.956496436844143,80.52709817693143
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 18:00:00,16.0,80.6,16.1,80.7,Random Forest,16.031059073236975,80.65627768819004,16.03426002574014,80.6624900269671,16.09160602724831,80.69924757136562,16.03,80.66366666666666,16.098623237581865,80.66823039098263,16.09318445,80.66296904,16.080198847167292,80.66824630445396,16.026096306704627,80.63894984437181
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-20 21:00:00,16.1,80.7,16.3,80.8,Random Forest,16.301142265865888,80.81527861078077,16.33370341826343,80.82545261605061,16.25285780948627,80.79637308462199,16.318333333333335,80.82133333333334,16.294861541193644,80.82009739312129,16.29441508,80.80755966000001,16.21192315509033,80.79032336445596,16.268057889154115,80.78599404074966
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-21 00:00:00,16.3,80.8,16.5,81.0,Random Forest,16.516832097459925,80.94113809379054,16.514635614264844,80.94250030567791,16.51754469216692,80.91030716101642,16.51,80.93599999999999,16.523837794024782,80.92431490548054,16.53125061,80.92370491999999,16.48889132285676,80.89020160120577,16.517648982301463,80.93220388412773
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-21 03:00:00,16.5,81.0,16.8,81.2,Random Forest,16.755049142850538,81.21552710605802,16.77134759227331,81.22443816593744,16.698096165419532,81.18279636161171,16.761,81.218,16.73594837737513,81.19202290249926,16.71564385,81.18061438,16.7069073298401,81.16877377611318,16.73774403386422,81.18532446915255
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-21 06:00:00,16.8,81.2,16.8,81.3,Random Forest,16.827829451494416,81.33911163520125,16.83249893409251,81.33688891604348,16.932615006438503,81.39298439686834,16.851333333333333,81.33800000000001,16.885344394483525,81.33287656301283,16.878315035,81.33584527000001,16.969497742656486,81.32178054488053,16.805133351590246,81.33893385991983
era5_helped_24h_48h,2010137N10090,LAILA (2010),3h,2010-05-21 09:00:00,16.8,81.3,16.9,81.5,Random Forest,16.878485220175886,81.44682496304912,16.871115581189613,81.46665658282916,16.841552734785843,81.37705634442895,16.876,81.46166666666666,16.897230049040342,81.41638491021291,16.895641226000002,81.41298626999999,16.835406431313192,81.40944435949542,16.881332056013925,81.39291470322351
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-16 21:00:00,10.2,90.1,11.0,88.3,Stacking Ensemble,11.659096163961712,88.68707420194012,11.637836412011453,88.74573522886041,11.35688834290169,88.66499653286505,11.535,88.79166666666666,11.465270015267667,88.59738674223232,11.5338268,88.6655385,11.381597435516001,88.82890851911826,11.749917776546278,88.62551582467869
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 00:00:00,10.5,89.7,11.2,87.9,Stacking Ensemble,11.58907421727816,88.01594837720967,11.477649422962646,87.99104777631253,11.444791036985553,87.98951925371537,11.582333333333333,88.00233333333334,11.383810470475115,87.99511898720091,11.4388815,88.07920630000001,11.513317700823817,88.15404459471304,11.651631425718637,88.08156157531903
