SID,era,trk,delta_km,horizon
1940320N13085,45.95032815773156,60.06400196285617,14.113673805124606,24h
1942213N22090,129.40542944302257,91.35219635550122,-38.05323308752135,24h
1942287N17090,127.65207509426457,132.1078008230705,4.45572572880593,24h
1944227N23084,130.16633577373528,104.61954091974775,-25.546794853987535,24h
1944231N19089,74.94442126876851,94.06768468888771,19.1232634201192,24h
1945177N23085,67.37962246568856,71.7170639830153,4.337441517326738,24h
1946213N20089,128.4061947028676,126.82119618340927,-1.584998519458324,24h
1946257N20089,123.06248627511837,127.23563659462502,4.173150319506647,24h
1946340N11086,124.7519032099583,120.30337337960175,-4.448529830356549,24h
1947345N08092,148.68294342999803,155.1077842725968,6.424840842598769,24h
1948225N18087,87.57194119959493,73.65050243959959,-13.92143875999534,24h
1950160N19091,79.74904212625026,79.26567956538997,-0.48336256086028584,24h
1950192N25079,48.22771384372906,50.37308957456312,2.145375730834054,24h
1950221N21089,69.47051183922903,98.63870457041476,29.168192731185727,24h
1950336N07086,146.64836289383402,178.71985268001342,32.0714897861794,24h
1951340N08090,89.36398789646053,97.82347559787137,8.459487701410836,24h
1952186N21089,124.08037967508636,80.8505720272222,-43.22980764786416,24h
1952209N22087,66.40078162550714,63.48536808429405,-2.915413541213084,24h
1955273N18090,165.46595600510756,167.8915722918749,2.4256162867673368,24h
1956150N22090,68.65984983192355,66.95670487464697,-1.703144957276578,24h
1956227N18088,130.08734982302977,114.87347600945591,-15.213873813573855,24h
1958136N16088,57.36966262711842,78.3101385448773,20.94047591775888,24h
1958251N20090,92.37110466598179,86.39947668826323,-5.971627977718555,24h
1958279N10086,98.88091106795989,97.7132630698878,-1.1676479980720842,24h
1960182N20089,87.45662298655148,105.84417052264709,18.38754753609561,24h
1960302N08090,119.43876205559562,126.64547388157462,7.206711825978999,24h
1961125N11096,51.880595313965614,47.723149917261225,-4.157445396704389,24h
1962343N10090,151.90060257758628,159.01259146609237,7.11198888850609,24h
1963221N20089,120.30693520468117,119.88366399340028,-0.4232712112808912,24h
1963274N15115,89.14531280799966,83.4649146182979,-5.680398189701762,24h
1963334N05090,72.45526901740344,73.5627559617206,1.1074869443171593,24h
1964222N20090,70.31425255973124,64.89031472818333,-5.423937831547917,24h
1964267N21089,136.99414414405408,123.09410355686137,-13.900040587192706,24h
1964291N16091,98.50921534930589,112.28695433205127,13.777738982745376,24h
1965129N14085,144.50996083413497,117.6984973162501,-26.811463517884874,24h
1965207N21090,39.91305906645552,35.41912277254268,-4.493936293912839,24h
1965238N14114,247.64596722770847,239.29706866789292,-8.348898559815552,24h
1966341N08088,114.62958891488523,122.41927342852145,7.789684513636217,24h
1967207N20088,167.63796412696954,163.8958213266916,-3.7421428002779464,24h
1968307N11087,64.04942431614532,54.62975589264492,-9.419668423500397,24h
1969308N12095,63.8778994572711,69.58041347070274,5.702514013431639,24h
1969355N04091,82.14895153598445,97.83268711217178,15.683735576187331,24h
1970324N05143,140.12379889894927,143.068183537319,2.944384638369712,24h
1971267N12130,72.01970878042737,78.45257529431709,6.432866513889721,24h
1971308N11092,144.46972066709975,149.67458562254959,5.204864955449835,24h
1972335N08116,109.91871082025543,107.23484104599147,-2.683869774263954,24h
1973193N20089,177.5172073912438,179.15292047717338,1.6357130859295808,24h
1973200N21088,103.50424087761245,119.83653370535616,16.332292827743714,24h
1975007N08092,111.4840367394016,120.66597434258611,9.181937603184508,24h
1975305N15085,69.31763985346858,66.32637450038091,-2.9912653530876696,24h
1976240N21083,102.71192894428712,99.54100813256467,-3.1709208117224534,24h
1976308N13088,110.3649984948266,80.26823195915462,-30.096766535671975,24h
1978217N16129,113.47425937534884,106.8187057910988,-6.655553584250043,24h
1984213N20089,90.9457999181324,89.80811665977379,-1.1376832583586065,24h
1985284N05159,90.02024401554829,92.27718699246658,2.256942976918296,24h
1985317N12082,183.28989019203317,154.53956017461024,-28.750330017422925,24h
1986228N19120,171.2964207806539,164.31371082785725,-6.982709952796654,24h
1987219N08134,82.42681929948877,101.16246917518215,18.735649875693383,24h
1987336N10085,78.32343893803011,83.06105463716065,4.737615699130544,24h
1988327N06100,91.58364852856113,91.01078089100366,-0.5728676375574651,24h
1988341N08090,87.79707117990506,85.68498307478778,-2.11208810511728,24h
1990226N19088,163.4945135331847,180.73043528724446,17.235921754059774,24h
1990272N11121,78.74930757909408,82.36083902289873,3.611531443804651,24h
1990348N04087,138.69667329029363,145.42552966134215,6.728856371048522,24h
1993336N05164,148.05697582590105,154.03785269337843,5.980876867477377,24h
1994302N11086,125.71766911496813,127.96359552642762,2.245926411459493,24h
1996122N08092,54.293990821570546,54.112314608905265,-0.18167621266528045,24h
1996163N08088,121.74338115219325,118.00683979262563,-3.7365413595676245,24h
1997216N20091,195.29269987071598,182.72445512572978,-12.568244744986202,24h
1998299N11090,154.68053765072727,139.69320256274187,-14.9873350879854,24h
1998343N08114,74.84052263322519,82.26108419182596,7.420561558600767,24h
2000289N15089,79.97300484800955,50.27323490334811,-29.69976994466144,24h
2003295N09101,110.7074788951046,95.97808516462055,-14.729393730484048,24h
2005330N09096,112.52438292803478,108.48471139535188,-4.0396715326829025,24h
2005349N06090,108.39978843401312,114.75794257741677,6.358154143403652,24h
2010137N10090,108.6443270356095,133.69043479328815,25.04610775767864,24h
2010293N17093,133.76581032145918,148.74513291663666,14.979322595177479,24h
2010305N06105,47.423449825676265,44.141602732890405,-3.28184709278586,24h
2016230N21089,112.83335006458478,102.21805908246448,-10.6152909821203,24h
2016295N13089,110.75843826041346,109.20269327775438,-1.5557449826590783,24h
2016308N13088,109.89270720312891,109.96352198846974,0.07081478534082919,24h
2017232N19130,137.98161401806615,137.81277064213498,-0.16884337593117493,24h
2017307N07102,258.220776286572,274.69502356526675,16.474247278694747,24h
2017333N06082,100.32416844078155,87.9973739740254,-12.326794466756155,24h
2018365N08115,124.51577419326205,125.1542382344424,0.6384640411803559,24h
2019116N02090,110.51481811623654,104.27676273909653,-6.2380553771400145,24h
2020353N06129,100.91723605203985,115.14223967143427,14.225003619394414,24h
2022062N06085,102.48663426773982,104.88076833066769,2.3941340629278756,24h
1940320N13085,136.80808604876313,151.47297111402577,14.664885065262638,48h
1942213N22090,378.08088068050733,272.92226273192796,-105.15861794857938,48h
1942287N17090,230.16134376246004,261.28631804220663,31.124974279746596,48h
1944227N23084,399.33815680301564,344.88857681988264,-54.44957998313299,48h
1944231N19089,139.2937368230024,165.68721846699367,26.393481643991265,48h
1945177N23085,294.59452008620974,184.8604285268515,-109.73409155935823,48h
1946213N20089,340.494933269062,323.0030556181792,-17.491877650882827,48h
1946257N20089,273.608971294258,292.7346483977278,19.125677103469798,48h
1946340N11086,355.4490857874772,447.66352149449096,92.21443570701376,48h
1947345N08092,336.0236942398178,398.0405528757523,62.01685863593451,48h
1948225N18087,146.18501860637153,174.59465897718076,28.409640370809228,48h
