window,year_start,year_end,seed,horizon,n_storms,n_samples,median_km_val,median_km_test
full_era5,1940,2024,3,3h,583,15605,5.436665228766671,5.210305801039081
full_era5,1940,2024,3,12h,583,15605,40.40049435483557,33.467253987969364
full_era5,1940,2024,3,24h,583,15605,103.82536907414482,92.6170729268264
full_era5,1940,2024,3,48h,583,15605,256.84445249842025,231.01762280969334
full_era5,1940,2024,4,3h,583,15605,5.228402926959259,5.383107259091024
full_era5,1940,2024,4,12h,583,15605,34.16600882678059,35.96470096541354
full_era5,1940,2024,4,24h,583,15605,95.40968136212675,95.56544329940874
full_era5,1940,2024,4,48h,583,15605,241.61667564259938,232.8033475818038
full_era5,1940,2024,5,3h,583,15605,5.438807901140203,5.22035025836824
full_era5,1940,2024,5,12h,583,15605,37.32008393553791,36.68830920377569
full_era5,1940,2024,5,24h,583,15605,101.43158621310029,100.6604522235925
full_era5,1940,2024,5,48h,583,15605,249.6011632365325,250.49240943938446
full_era5,1940,2024,6,3h,583,15605,5.119891575808712,5.076530296793203
full_era5,1940,2024,6,12h,583,15605,34.715527662155765,35.215323855984124
full_era5,1940,2024,6,24h,583,15605,96.18512956422849,98.8674870110161
full_era5,1940,2024,6,48h,583,15605,231.85934083064393,251.22566946302823
full_era5,1940,2024,8,3h,583,15605,5.280678003001563,5.297545006547859
full_era5,1940,2024,8,12h,583,15605,35.389385937816726,38.91004905188224
full_era5,1940,2024,8,24h,583,15605,95.92841680344071,110.32851918585708
full_era5,1940,2024,8,48h,583,15605,231.09968691166955,263.7046441228021
full_era5,1940,2024,9,3h,583,15605,5.542892472339226,5.159886191936594
full_era5,1940,2024,9,12h,583,15605,37.778142833705594,37.39794811427399
full_era5,1940,2024,9,24h,583,15605,106.07501294324899,97.75467372000443
full_era5,1940,2024,9,48h,583,15605,272.9837756251466,237.40940218107795
full_era5,1940,2024,10,3h,583,15605,5.3009474730031725,5.264971836833189
full_era5,1940,2024,10,12h,583,15605,36.14982645452185,36.818732860688876
full_era5,1940,2024,10,24h,583,15605,97.36900654590389,101.23318747129355
full_era5,1940,2024,10,48h,583,15605,229.1168832279531,245.53336362475977
full_era5,1940,2024,11,3h,583,15605,5.395773618706147,5.442866854046718
full_era5,1940,2024,11,12h,583,15605,38.3842748108081,35.77241850693423
full_era5,1940,2024,11,24h,583,15605,106.53630331301383,101.27370809700949
full_era5,1940,2024,11,48h,583,15605,263.7407118731097,246.2325885430352
full_era5,1940,2024,14,3h,583,15605,5.266487877342265,5.115799003179591
full_era5,1940,2024,14,12h,583,15605,35.491498399027435,35.4522321325789
full_era5,1940,2024,14,24h,583,15605,103.361392908369,99.6385768996299
full_era5,1940,2024,14,48h,583,15605,260.50586983758114,245.90417906419725
satellite,1979,2024,3,3h,243,7480,6.294550303193106,6.264102439916758
satellite,1979,2024,3,12h,243,7480,41.87203994574162,44.58754106591799
satellite,1979,2024,3,24h,243,7480,106.07232408942411,115.26362258350937
satellite,1979,2024,3,48h,243,7480,252.02541195913267,276.8624497709924
satellite,1979,2024,4,3h,243,7480,6.092560986252926,6.250927548015669
satellite,1979,2024,4,12h,243,7480,43.169948481102935,45.92395075974207
satellite,1979,2024,4,24h,243,7480,112.83380011084549,110.33118124456854
satellite,1979,2024,4,48h,243,7480,268.5472634214783,269.1599572790736
satellite,1979,2024,5,3h,243,7480,6.173344161700336,5.8503370759155295
satellite,1979,2024,5,12h,243,7480,42.247285328554185,43.69231601207504
satellite,1979,2024,5,24h,243,7480,111.38540665623788,108.75015035403145
satellite,1979,2024,5,48h,243,7480,275.0430658785805,236.0131406147326
satellite,1979,2024,6,3h,243,7480,6.088696548193406,5.82041783060274
satellite,1979,2024,6,12h,243,7480,44.67655704276775,38.8287460560431
satellite,1979,2024,6,24h,243,7480,116.46468802266153,107.98875467491115
satellite,1979,2024,6,48h,243,7480,277.09408991435464,273.1442027860123
satellite,1979,2024,8,3h,243,7480,6.318648667433473,6.196807493295241
satellite,1979,2024,8,12h,243,7480,40.089084982333375,43.140378559489015
satellite,1979,2024,8,24h,243,7480,101.3204752594554,111.3788075470049
satellite,1979,2024,8,48h,243,7480,236.90280851263225,284.56974777464063
satellite,1979,2024,9,3h,243,7480,6.293064608098555,6.305804644430786
satellite,1979,2024,9,12h,243,7480,46.99935260856128,43.33325584726096
satellite,1979,2024,9,24h,243,7480,112.18081527499903,103.05210238238608
satellite,1979,2024,9,48h,243,7480,262.81322463545297,255.9216790000288
satellite,1979,2024,10,3h,243,7480,5.701206672698573,6.251869080566015
satellite,1979,2024,10,12h,243,7480,43.677491029638105,47.730255718899286
satellite,1979,2024,10,24h,243,7480,112.91866067456883,124.99431859877177
satellite,1979,2024,10,48h,243,7480,255.62841728903902,306.22005986861876
satellite,1979,2024,11,3h,243,7480,5.994928159612742,6.098208804578448
satellite,1979,2024,11,12h,243,7480,39.73056000089791,46.98497836172747
satellite,1979,2024,11,24h,243,7480,112.19851351818816,116.72909542169242
satellite,1979,2024,11,48h,243,7480,276.4211308392109,280.0377291728066
satellite,1979,2024,14,3h,243,7480,5.969844976535713,6.0971648859201535
satellite,1979,2024,14,12h,243,7480,41.52295579328127,42.15110055452857
satellite,1979,2024,14,24h,243,7480,103.73384860945187,112.92777435853526
satellite,1979,2024,14,48h,243,7480,250.53722763053236,260.6372117556934
modern,1990,2024,3,3h,190,5667,6.365914603932602,6.805571278837412
modern,1990,2024,3,12h,190,5667,43.90762465344228,48.22497862708566
modern,1990,2024,3,24h,190,5667,107.84237361742962,114.0740316542839
modern,1990,2024,3,48h,190,5667,251.89695029449507,266.70376195777226
modern,1990,2024,4,3h,190,5667,6.017886716964692,6.070853161969563
modern,1990,2024,4,12h,190,5667,40.60775817091425,42.51285388311419
modern,1990,2024,4,24h,190,5667,101.03987194390042,104.8541122293515
modern,1990,2024,4,48h,190,5667,240.37868188854384,247.7386027527006
modern,1990,2024,5,3h,190,5667,5.918108015322941,5.967740106163918
modern,1990,2024,5,12h,190,5667,43.88903776460246,45.06429791499356
modern,1990,2024,5,24h,190,5667,106.33436997748288,110.99894337489852
modern,1990,2024,5,48h,190,5667,258.0531974510859,281.88050682965525
modern,1990,2024,6,3h,190,5667,5.672062359893562,6.110228027097205
modern,1990,2024,6,12h,190,5667,42.026700212248215,44.12175395352394
modern,1990,2024,6,24h,190,5667,111.34714018607893,112.69393299194816
modern,1990,2024,6,48h,190,5667,261.5932151354043,269.8045457667374
modern,1990,2024,8,3h,190,5667,6.199749590041241,5.855396155516223
modern,1990,2024,8,12h,190,5667,44.40164240036789,41.775139855805996
modern,1990,2024,8,24h,190,5667,105.53989737861166,106.63842010144087
modern,1990,2024,8,48h,190,5667,256.2105202512893,264.75696943260425
modern,1990,2024,9,3h,190,5667,6.435495225771091,5.851218066190794
modern,1990,2024,9,12h,190,5667,46.517103464173424,42.01121465247414
modern,1990,2024,9,24h,190,5667,115.93053571370932,104.58904716236242
modern,1990,2024,9,48h,190,5667,285.93530877942237,250.79010588789055
modern,1990,2024,10,3h,190,5667,5.989456461111516,6.326755029876888
modern,1990,2024,10,12h,190,5667,41.572338001178366,46.72686266768406
modern,1990,2024,10,24h,190,5667,99.499389772677,117.59816957767555
modern,1990,2024,10,48h,190,5667,222.19895312492423,261.40273907548453
modern,1990,2024,11,3h,190,5667,6.456812509931554,6.337162202756042
