n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
65,1.0,1.0,1.0,0.0,1.0,61.0,1.0,0.0,0.0,1842.0,1842298N11080
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1877.0,1877135N10083
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1877.0,1877192N21090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1877.0,1877218N21090
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1877.0,1877220N22092
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1877.0,1877226N21089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1877.0,1877230N20091
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1877.0,1877241N20088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1877.0,1877249N20088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1877.0,1877307N18091
74,1.0,1.0,1.0,0.0,0.0,70.0,1.0,0.0,0.0,1878.0,1878202N18087
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1878.0,1878215N20086
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1878.0,1878218N20089
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1878.0,1878256N19090
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1878.0,1878261N18090
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1878.0,1878287N16084
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1878.0,1878301N15084
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1878.0,1878308N16084
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1878.0,1878339N17087
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1879.0,1879140N13081
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1879.0,1879149N21087
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1879.0,1879220N21088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1879.0,1879256N21090
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1879.0,1879265N20089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1879.0,1879284N19092
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1879.0,1879299N20092
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1879.0,1879305N15097
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1879.0,1879322N13081
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1880.0,1880153N20089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1880.0,1880177N19088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1880.0,1880196N20089
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1880.0,1880214N20088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1880.0,1880233N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1880.0,1880257N19089
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1880.0,1880265N20088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1880.0,1880267N21088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1880.0,1880287N17085
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1880.0,1880325N10082
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1881.0,1881146N20090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1881.0,1881154N20089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1881.0,1881157N21088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1881.0,1881165N21089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1881.0,1881183N21088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1881.0,1881194N21090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1881.0,1881214N20087
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1881.0,1881230N21089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1881.0,1881254N20089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1881.0,1881277N17085
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1881.0,1881315N11082
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1882.0,1882192N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1882.0,1882199N21089
