seed,horizon,model,median_km,rank,is_best,router_pick
0,3h,SECE v2 Phase3,5.096,1,True,SECE NNLS champions
0,3h,Stacking Ensemble,5.144,2,False,
0,3h,Random Forest,5.153,3,False,
0,3h,CB+MotionNN,5.911,4,False,
0,3h,LightGBM,6.123,5,False,
0,3h,XGBoost,6.517,6,False,
0,3h,CatBoost,8.701,7,False,
0,3h,Persistence Residual Cascade,8.835,8,False,
0,12h,SECE v2 Phase3,36.736,1,True,SECE NNLS champions
0,12h,Stacking Ensemble,37.385,2,False,
0,12h,CB+MotionNN,37.537,3,False,
0,12h,XGBoost,38.27,4,False,
0,12h,LightGBM,38.439,5,False,
0,12h,Random Forest,38.5,6,False,
0,12h,Persistence Residual Cascade,38.798,7,False,
0,12h,CatBoost,43.192,8,False,
0,24h,SECE v2 Phase3,102.35,1,True,SECE NNLS full
0,24h,CB+MotionNN,103.58,2,False,
0,24h,Stacking Ensemble,103.945,3,False,
0,24h,XGBoost,104.917,4,False,
0,24h,Persistence Residual Cascade,105.973,5,False,
0,24h,Random Forest,106.413,6,False,
0,24h,LightGBM,106.413,7,False,
0,24h,CatBoost,109.233,8,False,
0,48h,XGBoost,256.601,1,True,
0,48h,CatBoost,257.177,2,False,
0,48h,LightGBM,258.027,3,False,
0,48h,CB+MotionNN,258.392,4,False,
0,48h,Persistence Residual Cascade,258.694,5,False,
0,48h,SECE v2 Phase3,258.778,6,False,SECE NNLS full
0,48h,Stacking Ensemble,259.659,7,False,
0,48h,Random Forest,267.014,8,False,
1,3h,SECE v2 Phase3,5.172,1,True,SECE NNLS champions
1,3h,Stacking Ensemble,5.205,2,False,
1,3h,Random Forest,5.23,3,False,
1,3h,CB+MotionNN,5.81,4,False,
1,3h,LightGBM,6.187,5,False,
1,3h,XGBoost,6.661,6,False,
1,3h,CatBoost,8.859,7,False,
1,3h,Persistence Residual Cascade,9.339,8,False,
1,12h,SECE v2 Phase3,37.476,1,True,SECE NNLS full
1,12h,Stacking Ensemble,37.736,2,False,
1,12h,Random Forest,38.171,3,False,
1,12h,LightGBM,38.738,4,False,
1,12h,Persistence Residual Cascade,38.766,5,False,
1,12h,XGBoost,38.932,6,False,
1,12h,CB+MotionNN,40.037,7,False,
1,12h,CatBoost,44.428,8,False,
1,24h,LightGBM,102.967,1,True,
1,24h,XGBoost,103.507,2,False,
1,24h,Stacking Ensemble,103.707,3,False,
1,24h,Persistence Residual Cascade,104.633,4,False,
1,24h,SECE v2 Phase3,105.011,5,False,SECE NNLS full
1,24h,Random Forest,107.752,6,False,
1,24h,CB+MotionNN,108.432,7,False,
1,24h,CatBoost,110.357,8,False,
1,48h,Persistence Residual Cascade,243.776,1,True,
1,48h,XGBoost,244.089,2,False,
1,48h,SECE v2 Phase3,248.234,3,False,SECE NNLS champions
1,48h,LightGBM,248.89,4,False,
1,48h,Stacking Ensemble,249.407,5,False,
1,48h,CB+MotionNN,250.824,6,False,
1,48h,CatBoost,253.043,7,False,
1,48h,Random Forest,255.656,8,False,
2,3h,SECE v2 Phase3,4.852,1,True,STK+residual LGB
2,3h,Stacking Ensemble,4.913,2,False,
2,3h,Random Forest,4.92,3,False,
2,3h,CB+MotionNN,5.877,4,False,
2,3h,LightGBM,5.948,5,False,
2,3h,XGBoost,6.482,6,False,
2,3h,Persistence Residual Cascade,8.242,7,False,
2,3h,CatBoost,8.568,8,False,
2,12h,SECE v2 Phase3,34.502,1,True,SECE NNLS full
2,12h,Stacking Ensemble,35.154,2,False,
2,12h,LightGBM,35.509,3,False,
2,12h,CB+MotionNN,35.799,4,False,
2,12h,XGBoost,35.912,5,False,
2,12h,Random Forest,35.974,6,False,
2,12h,Persistence Residual Cascade,36.102,7,False,
2,12h,CatBoost,42.26,8,False,
2,24h,Stacking Ensemble,96.661,1,True,
2,24h,XGBoost,98.689,2,False,
2,24h,LightGBM,99.189,3,False,
2,24h,Persistence Residual Cascade,99.484,4,False,
2,24h,Random Forest,100.453,5,False,
2,24h,SECE v2 Phase3,101.237,6,False,SECE NNLS full
2,24h,CB+MotionNN,105.358,7,False,
2,24h,CatBoost,109.203,8,False,
2,48h,XGBoost,247.806,1,True,
2,48h,Persistence Residual Cascade,248.092,2,False,
2,48h,Random Forest,250.037,3,False,
2,48h,Stacking Ensemble,250.193,4,False,
2,48h,LightGBM,251.114,5,False,
2,48h,CB+MotionNN,253.1,6,False,
2,48h,SECE v2 Phase3,255.408,7,False,SECE NNLS full
2,48h,CatBoost,268.454,8,False,
7,3h,SECE v2 Phase3,4.943,1,True,SECE NNLS champions
7,3h,Random Forest,5.026,2,False,
7,3h,Stacking Ensemble,5.055,3,False,
7,3h,CB+MotionNN,5.718,4,False,
7,3h,LightGBM,6.182,5,False,
7,3h,XGBoost,6.564,6,False,
7,3h,CatBoost,8.631,7,False,
7,3h,Persistence Residual Cascade,9.093,8,False,
7,12h,SECE v2 Phase3,34.656,1,True,SECE NNLS champions
7,12h,Stacking Ensemble,35.797,2,False,
7,12h,Persistence Residual Cascade,35.85,3,False,
7,12h,XGBoost,36.219,4,False,
7,12h,LightGBM,36.222,5,False,
7,12h,Random Forest,36.876,6,False,
7,12h,CB+MotionNN,36.877,7,False,
7,12h,CatBoost,41.143,8,False,
7,24h,LightGBM,97.937,1,True,
7,24h,Persistence Residual Cascade,98.01,2,False,
7,24h,XGBoost,98.109,3,False,
7,24h,Stacking Ensemble,98.316,4,False,
7,24h,SECE v2 Phase3,98.316,5,False,Stacking Ensemble
7,24h,CB+MotionNN,98.445,6,False,
7,24h,Random Forest,102.678,7,False,
7,24h,CatBoost,103.134,8,False,
7,48h,Persistence Residual Cascade,233.59,1,True,
7,48h,XGBoost,233.907,2,False,
7,48h,LightGBM,236.517,3,False,
7,48h,Stacking Ensemble,240.117,4,False,
7,48h,CB+MotionNN,243.04,5,False,
7,48h,Random Forest,243.365,6,False,
7,48h,SECE v2 Phase3,247.673,7,False,SECE NNLS full
7,48h,CatBoost,252.322,8,False,
13,3h,SECE v2 Phase3,4.859,1,True,STK+residual LGB
13,3h,Random Forest,4.884,2,False,
13,3h,Stacking Ensemble,4.901,3,False,
13,3h,CB+MotionNN,5.838,4,False,
13,3h,LightGBM,6.1,5,False,
13,3h,XGBoost,6.451,6,False,
13,3h,CatBoost,8.681,7,False,
