model,horizon,median_km,ci95_lo,ci95_hi,p_value_vs_sece,p_value_bonferroni_vs_sece,rank_biserial_vs_sece,significant_raw,significant_bonferroni,n_storms,n_samples,n_storms_paired,wilcoxon_stat
SECE v2 Phase3,3h,4.895,4.714,5.079,,,,N/A,N/A,442,34114,,
Stacking Ensemble,3h,4.945,4.763,5.123,0.00023,0.000919,-0.2084,Y,Y,442,34114,442.0,34329.0
Random Forest,3h,4.927,4.731,5.126,0.00388,0.015519,-0.164,Y,Y,442,34114,442.0,35736.0
LightGBM,3h,6.026,5.893,6.169,0.0,0.0,-0.9698,Y,Y,442,34114,442.0,1478.0
XGBoost,3h,6.411,6.239,6.583,0.0,0.0,-0.9927,Y,Y,442,34114,442.0,356.0
SECE v2 Phase3,12h,35.538,34.196,36.889,,,,N/A,N/A,442,21442,,
Stacking Ensemble,12h,36.146,34.761,37.689,0.000199,0.000796,-0.2102,Y,Y,442,21442,442.0,34415.0
Random Forest,12h,36.901,35.511,38.323,2e-06,6e-06,-0.2633,Y,Y,442,21442,442.0,36064.0
LightGBM,12h,36.928,35.537,38.366,0.0,0.0,-0.3058,Y,Y,442,21442,442.0,33983.0
XGBoost,12h,36.947,35.538,38.429,0.0,0.0,-0.364,Y,Y,442,21442,442.0,31132.0
SECE v2 Phase3,24h,101.186,97.254,104.868,,,,N/A,N/A,442,21442,,
Stacking Ensemble,24h,100.771,96.927,104.784,0.231501,0.926005,-0.0706,N,N,442,21442,442.0,34174.0
Random Forest,24h,103.511,99.672,107.55,0.010528,0.042112,-0.1404,Y,Y,442,21442,442.0,42078.0
LightGBM,24h,101.632,97.72,105.6,0.432356,1.0,-0.0443,N,N,442,21442,442.0,41845.0
XGBoost,24h,101.029,96.882,105.212,0.406911,1.0,-0.0455,N,N,442,21442,442.0,46723.0
SECE v2 Phase3,48h,246.331,235.536,258.049,,,,N/A,N/A,442,21442,,
Stacking Ensemble,48h,245.977,235.833,256.979,0.03741,0.149639,-0.1142,Y,N,442,21442,442.0,43359.0
Random Forest,48h,251.305,240.773,262.319,0.100564,0.402258,-0.0901,N,N,442,21442,442.0,44539.0
LightGBM,48h,245.975,234.788,256.836,0.214902,0.859608,-0.0681,N,N,442,21442,442.0,45619.0
XGBoost,48h,242.702,232.681,255.129,0.961562,1.0,-0.0026,N,N,442,21442,442.0,48822.0
